video_id,title,collab_partner,collab_category,view_count,comment_count,analyzed_comments,positive,negative,neutral,positive_ratio,negative_ratio,neutral_ratio,avg_compound,sentiment_label
AAZjrXVW6HM,PUBG MOBILE | 420 THEMED GAMEPLAY SKILLS COMBINATION,,,4285930,21,20,8,6,6,40.0,30.0,30.0,0.1199,positive
APtV8Je_cl4,Whisper | PUBG MOBILE Primewood Genesis Theme Song,,,3683012,801,139,83,21,35,59.71,15.11,25.18,0.349,positive
Tw-F9ZMddSU,PUBG MOBILE x Peaky Blinders Collaboration Trailer,Peaky Blinders,IP,10109030,1049,138,64,18,56,46.38,13.04,40.58,0.191,positive
bf4xvCaziYg,PUBG MOBILE | 420 THEMED GAMEPLAY PRIMEWOOD PURIFICATION VIDEO,,,5578929,36,33,16,6,11,48.48,18.18,33.33,0.168,positive
74X9h-4veZE,PUBG MOBILE ｜Primewood Genesis Version Available Now,,,10526953,129,116,69,10,37,59.48,8.62,31.9,0.3151,positive
VtJFD64z3xQ,PUBG MOBILE | 420 THEMED GAMEPLAY PATCH NOTE VIDEO,,,5719049,164,140,66,31,43,47.14,22.14,30.71,0.1375,positive
7lEsJw8AHVM,PUBG MOBILE | 420 THEMED GAMEPLAY TREANT SMART ALLY BARKLE VIDEO,,,7453681,145,106,44,25,37,41.51,23.58,34.91,0.1209,positive
kgcSbcw18B4,PUBG MOBILE | 410 Gilt Set 2 coser Video,,,4427099,112,102,51,22,29,50.0,21.57,28.43,0.2589,positive
bcbNEQtnBbg,PUBG MOBILE | 410 NEW YEAR EVENT MINI PV,,,4442988,104,96,62,6,28,64.58,6.25,29.17,0.4915,positive
eFqhJ6BGQ6M,PUBG MOBILE | 410 NEW YEAR EVENT COUNT DOWN POSTER 3,,,3792609,10,10,8,0,2,80.0,0.0,20.0,0.6551,positive
iLSlsCjs9is,PUBG MOBILE | Chicko 2025 recap,,,4228862,224,103,42,39,22,40.78,37.86,21.36,0.0217,neutral
R2JuotWuhoM,PUBG MOBILE | 410 NEW YEAR EVENT COUNT DOWN POSTER 2,,,3544019,7,6,5,1,0,83.33,16.67,0.0,0.4932,positive
YX2cURcx4XA,PUBG MOBILE | 420 preheat video 2,,,4323411,75,73,33,11,29,45.21,15.07,39.73,0.2053,positive
4hVQUPbZnDs,PUBG MOBILE | 410 NEW YEAR EVENT COUNT DOWN,,,3732644,15,12,7,4,1,58.33,33.33,8.33,0.211,positive
YOumdLUyjVs,PUBG MOBILE | 420 preheat video 1,,,3663740,41,39,16,7,16,41.03,17.95,41.03,0.139,positive
uDSX9RbNqdo,PUBG MOBILE | 420 THEMED GAME MODE BETA SERVER CONFIRMATION 3,,,3526679,11,11,2,3,6,18.18,27.27,54.55,-0.09,negative
X3i84jpPs9c,PUBG MOBILE | 420 THEMED GAME MODE BETA SERVER DISPATCH 4,,,3849514,23,21,9,5,7,42.86,23.81,33.33,0.1973,positive
RNPZz1ffbrg,PUBG MOBILE | 410 Penguin Rescue Operation Short Edit,,,4429982,31,31,21,4,6,67.74,12.9,19.35,0.4364,positive
79HXB-MvUZw,PUBG MOBILE | 420 THEMED GAME MODE BETA SERVER DISPATCH 3,,,3562961,11,9,7,1,1,77.78,11.11,11.11,0.3278,positive
msZoVkKGiKM,PUBG MOBILE | 410 FROST FESTIVAL,,,4946758,28,27,19,1,7,70.37,3.7,25.93,0.5669,positive
7iAfN3m0LQk,PUBG MOBILE | 410 ultimate runway recap,,,3542096,22,13,5,2,6,38.46,15.38,46.15,0.175,positive
ldymjsHtFmU,PUBG MOBILE | 2025 Frost Festival,,,4024726,16,16,11,2,3,68.75,12.5,18.75,0.4779,positive
4zAxWvWy4eE,PUBG MOBILE | Chicko Drone Show,,,17274770,51,51,34,2,15,66.67,3.92,29.41,0.477,positive
TZknYPz6ocE,PUBG MOBILE Producer Talk ｜What's Next 2026,t 2026,IP,5976658,152,135,68,31,36,50.37,22.96,26.67,0.1602,positive
G0yY2oNxXVk,PUBG MOBILE | 2025 PMGC MV,,,7917986,22,22,16,2,4,72.73,9.09,18.18,0.4242,positive
0wTp0E0suQA,PUBG MOBILE x Porsche | Dominate in style with iconic Porsche vehicles!,Porsche,Brand,5287923,78,75,38,14,23,50.67,18.67,30.67,0.2058,positive
VrrnjG4cvZ4,PUBG MOBILE x Porsche Collaboration Trailer,Porsche,Brand,9050200,79,73,32,11,30,43.84,15.07,41.1,0.1566,positive
rjg_n6_3Udo,PUBG MOBILE x BABYMONSTER | Special Message From BABYMONSTER!,BABYMONSTER,IP,19960956,188,104,75,10,19,72.12,9.62,18.27,0.4793,positive
loNIwFH3SQo,PUBG MOBILE x BABYMONSTER Live-Action Trailer,BABYMONSTER Live,Artist,40878803,1162,142,88,17,37,61.97,11.97,26.06,0.3709,positive
L3YYOiv6yac,PUBG MOBILE | BALENCIAGA Collaboration Trailer,,,7854157,58,55,26,9,20,47.27,16.36,36.36,0.185,positive
s5GrQ4ysCvc,PUBG MOBILE | 410 Metro Royale New Chapter PV,,,3544490,11,10,4,1,5,40.0,10.0,50.0,0.2337,positive
wPHjbuOA6SM,PUBG MOBILE | 410 Penguin Charity PV,,,5568903,29,28,12,7,9,42.86,25.0,32.14,0.1381,positive
gDCVWy4RRmg,PUBG MOBILE | 410 THEMED GAMEPLAY PATCH NOTE,,,6207575,51,48,18,14,16,37.5,29.17,33.33,0.0737,positive
aSmKOe9kM_U,PUBG MOBILE | 410 Loot Truck PV,,,4621121,16,16,9,2,5,56.25,12.5,31.25,0.2499,positive
Zz1fBst6hW0,PUBG MOBILE | 410 Metro Royale patch note,,,4581322,18,18,7,3,8,38.89,16.67,44.44,0.1347,positive
Ka29yHhLBHs,PUBG x PUBG MOBILE x Porsche Trailer,PUBG MOBILE x Porsche Trailer,Brand,4877042,96,93,36,9,48,38.71,9.68,51.61,0.1744,positive
2glz4LpO2z0,PUBG MOBILE | Day of Gathering,,,4459745,26,25,11,7,7,44.0,28.0,28.0,0.1708,positive
MolMAF_bdiw,PUBG MOBILE | Penguinville Stores are Open!,,,3878021,52,49,23,12,14,46.94,24.49,28.57,0.1829,positive
3dIo3NF8AT0,PUBG MOBILE x Dying Light: The Beast | Collaboration Gameplay LIVE Now,Dying Light,IP,12558507,107,100,51,25,24,51.0,25.0,24.0,0.1874,positive
S_y_vQlAjkc,PUBG MOBILE x Dying Light: The Beast arrives October 16!,Dying Light,IP,5048703,109,105,49,22,34,46.67,20.95,32.38,0.1695,positive
3-OhIBUz-O8,PUBG MOBILE X Sonic Collaboration Is Now Alive!,Sonic,IP,4246816,52,49,18,10,21,36.73,20.41,42.86,0.1277,positive
WDfRUd6iS8A,PUBG MOBILE X Sonic | Collaboration Trailer,Sonic,IP,16724637,250,132,62,23,47,46.97,17.42,35.61,0.1909,positive
TEWqww6iCK4,PUBG MOBILE X Skibidi Toilet | Collaboration Trailer,Skibidi Toilet,IP,4683371,1210,184,58,47,79,31.52,25.54,42.93,0.0548,positive
SyWo02Vnw4Q,PUBG MOBILE | G-DRAGON’s Greeting to All Players,,,3837349,28,24,12,6,6,50.0,25.0,25.0,0.1856,positive
iPXGpApvO8U,"PUBG MOBILE | Crazy Chicken Day Theme Song, performed by Jairo",,,5045844,125,123,36,24,63,29.27,19.51,51.22,0.0808,positive
-Jg9lnaOvFk,PUBG MOBILE X TRANSFORMERS | Collaboration Items Available Now!,TRANSFORMERS,Movie,5054816,45,43,24,8,11,55.81,18.6,25.58,0.2383,positive
MNghRCc_j_E,PUBG MOBILE | The Zombies Have Risen in Metro Royale Chapter 27,,,4400100,64,60,25,15,20,41.67,25.0,33.33,0.0905,positive
wFfZyrA6yN0,PUBG MOBILE x TRANSFORMERS | Officially LIVE in Version 3.9!,TRANSFORMERS,Movie,7430153,235,121,58,16,47,47.93,13.22,38.84,0.237,positive
HnI4Xa1Izwo,PUBG MOBILE X Shelby American | Unrivalled Power | Collaboration Trailer,Shelby American,IP,4503139,20,19,10,2,7,52.63,10.53,36.84,0.3055,positive
jEP_3nH61h4,PUBG MOBILE X BABYMONSTER Collaboration Trailer,BABYMONSTER,IP,5058647,1022,127,65,22,40,51.18,17.32,31.5,0.2653,positive
